client_id,activity_date,activity_type,activity_result,activity_value,channel
C000341,2025-01-25,CALL,NO_RESPONSE,181.9,Mobile App
C000383,2025-06-14,APP_LOGIN,SUCCESS,2611.71,Mobile App
C009749,2025-06-13,APP_LOGIN,SUCCESS,767.29,Mobile App
C008492,2025-02-04,CALL,SUCCESS,768.76,Branch
C000139,2025-01-19,SMS,SUCCESS,1221.46,Call Center
C000359,2025-02-14,APP_LOGIN,SUCCESS,60.12,Mobile App
C004932,2025-04-22,SMS,SUCCESS,69.07,Mobile App
C009715,2025-05-26,SMS,SUCCESS,2598.26,Call Center
C003457,2025-06-04,APP_LOGIN,SUCCESS,224.08,Call Center
C001628,2025-04-04,APP_LOGIN,FAIL,369.74,Mobile App
C009496,2025-01-31,APP_LOGIN,SUCCESS,1778.13,Mobile App
C006627,2025-06-16,APP_LOGIN,SUCCESS,643.4,Mobile App
C005005,2025-03-08,TXN,NO_RESPONSE,881.2,Mobile App
C009327,2025-05-30,APP_LOGIN,SUCCESS,744.29,Mobile App
C006653,2025-06-29,CALL,SUCCESS,549.57,Mobile App
C006417,2025-01-10,SMS,SUCCESS,1299.79,Call Center
C003171,2025-04-27,CALL,NO_RESPONSE,648.71,Mobile App
C003836,2025-01-08,APP_LOGIN,SUCCESS,452.79,Mobile App
C008018,2025-02-03,TXN,SUCCESS,241.59,Call Center
C002152,2025-06-30,TXN,SUCCESS,45.64,Mobile App
C009430,2025-05-26,SMS,SUCCESS,4133.57,Mobile App
C006906,2025-01-12,APP_LOGIN,SUCCESS,2117.24,Website
C002835,2025-04-06,APP_LOGIN,SUCCESS,1077.13,Branch
C009191,2025-05-10,APP_LOGIN,SUCCESS,688.41,Mobile App
C002568,2025-01-17,TXN,SUCCESS,3531.52,Mobile App
C001308,2025-06-29,EMAIL,NO_RESPONSE,205.02,Mobile App
C008849,2025-03-17,APP_LOGIN,SUCCESS,893.5,Call Center
C002661,2025-03-12,CALL,SUCCESS,555.1,Mobile App
C003731,2025-03-20,CALL,SUCCESS,642.49,Mobile App
C006208,2025-01-02,TXN,SUCCESS,127.8,Mobile App
C003163,2025-01-27,APP_LOGIN,SUCCESS,1099.62,Branch
C001141,2025-06-03,APP_LOGIN,SUCCESS,592.89,Mobile App
C008459,2025-06-02,TXN,SUCCESS,640.31,Mobile App
C001709,2025-05-20,TXN,SUCCESS,195.54,Mobile App
C003631,2025-05-25,CALL,NO_RESPONSE,766.68,Mobile App
C003212,2025-04-05,APP_LOGIN,SUCCESS,561.77,Mobile App
C006539,2025-06-17,APP_LOGIN,NO_RESPONSE,366.48,Call Center
C009703,2025-01-05,APP_LOGIN,NO_RESPONSE,1177.93,Call Center
C000476,2025-01-28,CALL,SUCCESS,822.08,Mobile App
C007685,2025-03-13,APP_LOGIN,SUCCESS,3729.77,Website
C009169,2025-02-21,EMAIL,NO_RESPONSE,734.93,Mobile App
C001208,2025-05-22,EMAIL,SUCCESS,1441.69,Website
C001961,2025-05-14,APP_LOGIN,SUCCESS,1954.88,Mobile App
C000558,2025-01-18,EMAIL,SUCCESS,1826.88,Mobile App
C000883,2025-02-06,SMS,SUCCESS,1682.34,Website
C004762,2025-04-09,EMAIL,FAIL,307.71,Mobile App
C005868,2025-02-04,TXN,SUCCESS,915.07,Mobile App
C006964,2025-05-06,TXN,SUCCESS,4218.79,Mobile App
C007167,2025-01-17,TXN,NO_RESPONSE,2931.15,Mobile App
C007930,2025-04-20,SMS,SUCCESS,2141.72,Call Center
C005348,2025-03-29,CALL,NO_RESPONSE,1454.96,Website
C007270,2025-01-10,APP_LOGIN,SUCCESS,92.74,Mobile App
C009803,2025-02-20,TXN,SUCCESS,556.23,Mobile App
C008126,2025-04-22,SMS,SUCCESS,359.23,Mobile App
C002455,2025-03-22,CALL,NO_RESPONSE,491.17,Website
C004495,2025-02-21,CALL,SUCCESS,875.3,Mobile App
C001947,2025-03-05,SMS,SUCCESS,500.1,Mobile App
C002809,2025-02-02,SMS,SUCCESS,553.92,Mobile App
C006643,2025-04-07,EMAIL,NO_RESPONSE,927.56,Website
C003826,2025-01-17,SMS,SUCCESS,2126.98,Branch
C003537,2025-05-04,TXN,SUCCESS,168.68,Website
C006069,2025-06-26,CALL,NO_RESPONSE,315.08,Mobile App
C003803,2025-04-18,TXN,FAIL,16.57,Mobile App
C004700,2025-05-07,SMS,SUCCESS,2223.13,Mobile App
C001971,2025-01-07,APP_LOGIN,SUCCESS,46.51,Branch
C005807,2025-04-22,TXN,FAIL,1775.91,Mobile App
C006143,2025-05-07,SMS,SUCCESS,1847.02,Mobile App
C002820,2025-01-10,CALL,FAIL,20.93,Mobile App
C009095,2025-01-31,TXN,NO_RESPONSE,2078.81,Mobile App
C000365,2025-01-25,EMAIL,FAIL,658.33,Call Center
C004259,2025-03-06,TXN,SUCCESS,3278.83,Website
C003120,2025-06-20,CALL,SUCCESS,824.44,Branch
C001864,2025-05-11,EMAIL,NO_RESPONSE,1565.41,Mobile App
C000116,2025-02-24,TXN,FAIL,898.91,Website
C007085,2025-02-17,TXN,FAIL,1714.91,Branch
C008017,2025-03-06,EMAIL,SUCCESS,1433.81,Mobile App
C002385,2025-04-23,APP_LOGIN,NO_RESPONSE,209.83,Call Center
C003936,2025-04-25,CALL,FAIL,827.21,Mobile App
C007743,2025-03-01,CALL,SUCCESS,499.18,Website
C005443,2025-01-14,CALL,SUCCESS,9.03,Mobile App
C002491,2025-03-28,CALL,SUCCESS,960.14,Mobile App
C006981,2025-03-22,SMS,SUCCESS,244.31,Call Center
C009135,2025-01-14,SMS,SUCCESS,2097.53,Mobile App
C007662,2025-05-17,APP_LOGIN,SUCCESS,1154.76,Mobile App
C001725,2025-03-26,APP_LOGIN,FAIL,147.6,Website
C008183,2025-06-22,APP_LOGIN,SUCCESS,61.16,Mobile App
C002768,2025-01-02,EMAIL,SUCCESS,2287.9,Call Center
C001138,2025-06-09,CALL,SUCCESS,3248.35,Mobile App
C004118,2025-01-08,APP_LOGIN,SUCCESS,1862.87,Mobile App
C003421,2025-02-05,EMAIL,SUCCESS,301.7,Mobile App
C005846,2025-06-14,EMAIL,SUCCESS,343.51,Mobile App
C004779,2025-01-15,APP_LOGIN,SUCCESS,444.55,Mobile App
C003907,2025-02-03,SMS,SUCCESS,286.58,Mobile App
C003638,2025-05-29,EMAIL,NO_RESPONSE,1267.39,Mobile App
C002954,2025-01-09,APP_LOGIN,SUCCESS,703.39,Mobile App
C005930,2025-02-09,TXN,NO_RESPONSE,720.83,Website
C000277,2025-01-26,TXN,NO_RESPONSE,685.3,Mobile App
C002000,2025-05-30,SMS,SUCCESS,277.59,Mobile App
C001228,2025-05-21,CALL,NO_RESPONSE,1656.72,Mobile App
C006338,2025-01-25,APP_LOGIN,NO_RESPONSE,1377.68,Mobile App
C003736,2025-04-25,CALL,SUCCESS,2041.29,Mobile App
C000696,2025-04-01,TXN,NO_RESPONSE,495.93,Mobile App
C009502,2025-05-23,CALL,NO_RESPONSE,107.01,Branch
C004153,2025-02-14,TXN,SUCCESS,758.81,Mobile App
C007902,2025-01-21,TXN,NO_RESPONSE,1896.9,Mobile App
C007471,2025-03-30,APP_LOGIN,SUCCESS,1277.21,Mobile App
C007538,2025-02-09,CALL,NO_RESPONSE,83.67,Website
C002842,2025-06-24,APP_LOGIN,SUCCESS,124.91,Mobile App
C004209,2025-03-27,SMS,SUCCESS,161.29,Mobile App
C008734,2025-03-02,TXN,NO_RESPONSE,198.23,Mobile App
C001089,2025-01-14,EMAIL,FAIL,3409.09,Mobile App
C003364,2025-03-29,SMS,NO_RESPONSE,534.34,Mobile App
C000025,2025-03-08,APP_LOGIN,SUCCESS,1103.62,Website
C009765,2025-03-17,CALL,SUCCESS,178.95,Mobile App
C006145,2025-06-24,APP_LOGIN,SUCCESS,911.06,Website
C005669,2025-05-24,EMAIL,SUCCESS,280.88,Mobile App
C004237,2025-03-12,APP_LOGIN,NO_RESPONSE,4052.39,Mobile App
C009960,2025-01-18,CALL,SUCCESS,801.13,Mobile App
C008069,2025-06-22,EMAIL,SUCCESS,404.96,Mobile App
C002236,2025-01-23,APP_LOGIN,SUCCESS,993.63,Branch
C007296,2025-01-26,APP_LOGIN,NO_RESPONSE,875.46,Mobile App
C008393,2025-05-10,CALL,SUCCESS,620.92,Mobile App
C008449,2025-05-30,SMS,FAIL,2395.02,Mobile App
C003748,2025-04-25,APP_LOGIN,NO_RESPONSE,2543.34,Mobile App
C003176,2025-06-15,CALL,SUCCESS,160.54,Mobile App
C004898,2025-06-19,APP_LOGIN,SUCCESS,172.5,Mobile App
C005038,2025-06-05,EMAIL,SUCCESS,4762.46,Website
C007428,2025-03-04,TXN,FAIL,1004.69,Branch
C008606,2025-01-17,EMAIL,NO_RESPONSE,204.41,Mobile App
C002015,2025-04-22,APP_LOGIN,FAIL,82.65,Mobile App
C001382,2025-04-25,APP_LOGIN,SUCCESS,1395.46,Website
C001099,2025-01-02,APP_LOGIN,SUCCESS,2365.8,Mobile App
C003427,2025-04-09,TXN,NO_RESPONSE,1651.2,Mobile App
C003656,2025-03-20,TXN,NO_RESPONSE,311.36,Mobile App
C007939,2025-04-18,CALL,SUCCESS,2712.55,Website
C009102,2025-04-26,TXN,SUCCESS,1.97,Mobile App
C000188,2025-04-19,CALL,SUCCESS,2077.27,Mobile App
C005410,2025-06-27,EMAIL,SUCCESS,3598.76,Mobile App
C002093,2025-05-23,APP_LOGIN,SUCCESS,2383.36,Mobile App
C002131,2025-05-26,TXN,FAIL,118.75,Mobile App
C005243,2025-03-18,APP_LOGIN,NO_RESPONSE,3026.67,Mobile App
C008550,2025-02-07,TXN,SUCCESS,445.89,Mobile App
C005648,2025-05-16,TXN,NO_RESPONSE,1208.84,Mobile App
C005186,2025-03-21,APP_LOGIN,SUCCESS,194.47,Mobile App
C005777,2025-05-28,SMS,NO_RESPONSE,2761.67,Call Center
C007914,2025-01-26,SMS,NO_RESPONSE,457.25,Mobile App
C007548,2025-06-12,EMAIL,SUCCESS,1498.71,Mobile App
C007824,2025-05-01,APP_LOGIN,SUCCESS,2851.0,Call Center
C007356,2025-03-22,CALL,SUCCESS,2660.8,Branch
C006466,2025-06-03,EMAIL,SUCCESS,782.11,Mobile App
C001498,2025-01-18,SMS,SUCCESS,1169.79,Branch
C002556,2025-06-21,TXN,SUCCESS,642.52,Mobile App
C005410,2025-05-15,SMS,NO_RESPONSE,986.82,Branch
C002952,2025-02-04,EMAIL,SUCCESS,2260.23,Mobile App
C001239,2025-01-12,APP_LOGIN,SUCCESS,298.13,Call Center
C009166,2025-05-01,TXN,SUCCESS,811.5,Mobile App
C004728,2025-04-23,APP_LOGIN,SUCCESS,777.8,Mobile App
C003966,2025-02-13,CALL,SUCCESS,2334.32,Mobile App
C005687,2025-02-10,EMAIL,SUCCESS,364.31,Mobile App
C009243,2025-02-23,APP_LOGIN,SUCCESS,168.95,Branch
C003702,2025-05-09,CALL,NO_RESPONSE,754.26,Mobile App
C002781,2025-01-25,APP_LOGIN,NO_RESPONSE,13.93,Branch
C007399,2025-03-21,EMAIL,SUCCESS,61.75,Mobile App
C001589,2025-05-02,APP_LOGIN,NO_RESPONSE,817.43,Branch
C002369,2025-01-15,APP_LOGIN,NO_RESPONSE,3525.59,Mobile App
C005790,2025-03-16,APP_LOGIN,SUCCESS,640.94,Mobile App
C000437,2025-04-11,TXN,SUCCESS,985.24,Mobile App
C002829,2025-05-11,APP_LOGIN,SUCCESS,1426.41,Mobile App
C001557,2025-06-22,CALL,FAIL,1189.46,Website
C007571,2025-04-30,TXN,SUCCESS,2512.21,Mobile App
C007481,2025-02-14,APP_LOGIN,NO_RESPONSE,271.71,Mobile App
C009497,2025-06-28,CALL,FAIL,106.85,Website
C000183,2025-06-19,APP_LOGIN,NO_RESPONSE,74.55,Website
C007191,2025-06-16,SMS,SUCCESS,2163.57,Branch
C006688,2025-01-20,SMS,SUCCESS,741.36,Mobile App
C005566,2025-05-26,APP_LOGIN,SUCCESS,200.53,Branch
C007242,2025-04-26,CALL,SUCCESS,1246.59,Website
C007652,2025-06-16,TXN,SUCCESS,1257.17,Mobile App
C005576,2025-04-09,APP_LOGIN,SUCCESS,84.52,Mobile App
C001590,2025-01-29,APP_LOGIN,SUCCESS,660.37,Mobile App
C009780,2025-01-20,SMS,SUCCESS,1530.28,Call Center
C008852,2025-06-19,APP_LOGIN,SUCCESS,1144.98,Mobile App
C000160,2025-03-20,APP_LOGIN,SUCCESS,484.63,Mobile App
C006556,2025-04-06,EMAIL,SUCCESS,974.61,Website
C009204,2025-01-12,SMS,SUCCESS,1475.5,Website
C008245,2025-02-25,EMAIL,SUCCESS,1018.59,Mobile App
C006847,2025-04-25,APP_LOGIN,SUCCESS,647.44,Mobile App
C002308,2025-01-12,APP_LOGIN,SUCCESS,445.81,Mobile App
C001229,2025-02-22,TXN,SUCCESS,1585.76,Mobile App
C007227,2025-04-08,APP_LOGIN,SUCCESS,375.84,Mobile App
C005591,2025-01-08,CALL,FAIL,1223.37,Website
C006920,2025-02-27,CALL,SUCCESS,1201.63,Mobile App
C005586,2025-01-24,SMS,SUCCESS,744.94,Website
C009228,2025-04-19,EMAIL,NO_RESPONSE,1430.34,Call Center
C006047,2025-03-02,APP_LOGIN,SUCCESS,1787.25,Mobile App
C004946,2025-05-09,TXN,SUCCESS,86.95,Mobile App
C007928,2025-03-30,APP_LOGIN,SUCCESS,797.77,Mobile App
C007017,2025-03-19,EMAIL,SUCCESS,264.52,Mobile App
C007759,2025-03-11,SMS,SUCCESS,1586.39,Mobile App
C005087,2025-06-22,CALL,SUCCESS,574.89,Call Center
C009457,2025-05-17,CALL,SUCCESS,2076.39,Call Center
C007162,2025-04-22,SMS,NO_RESPONSE,1031.45,Mobile App
C001885,2025-05-09,APP_LOGIN,SUCCESS,120.86,Call Center
C001810,2025-06-01,TXN,SUCCESS,288.26,Website
C003168,2025-03-01,SMS,SUCCESS,514.43,Website
C006353,2025-06-25,CALL,SUCCESS,489.24,Branch
C009010,2025-06-16,EMAIL,SUCCESS,505.5,Call Center
C006057,2025-01-18,SMS,SUCCESS,2337.43,Mobile App
C002438,2025-04-15,APP_LOGIN,SUCCESS,615.9,Website
C006469,2025-04-02,APP_LOGIN,SUCCESS,95.63,Mobile App
C009081,2025-02-21,TXN,SUCCESS,366.16,Mobile App
C005952,2025-01-02,CALL,SUCCESS,581.65,Call Center
C005277,2025-04-11,TXN,FAIL,427.56,Mobile App
C008860,2025-06-13,TXN,FAIL,272.69,Branch
C007819,2025-02-17,CALL,SUCCESS,543.99,Mobile App
C004729,2025-04-27,CALL,SUCCESS,2212.08,Branch
C002625,2025-03-29,APP_LOGIN,SUCCESS,541.21,Website
C005739,2025-02-04,APP_LOGIN,SUCCESS,440.96,Mobile App
C004233,2025-03-22,SMS,SUCCESS,545.87,Call Center
C005794,2025-04-04,EMAIL,FAIL,1112.81,Website
C004524,2025-04-25,APP_LOGIN,SUCCESS,9.04,Mobile App
C005572,2025-03-13,APP_LOGIN,SUCCESS,518.32,Branch
C009011,2025-06-19,CALL,NO_RESPONSE,584.9,Mobile App
C009299,2025-03-21,APP_LOGIN,SUCCESS,1222.6,Mobile App
C002225,2025-02-07,APP_LOGIN,SUCCESS,3180.29,Branch
C008390,2025-06-03,CALL,NO_RESPONSE,344.21,Website
C006092,2025-01-31,SMS,SUCCESS,81.77,Branch
C008663,2025-06-29,SMS,FAIL,1604.24,Mobile App
C006362,2025-01-08,SMS,NO_RESPONSE,609.61,Mobile App
C001949,2025-02-04,SMS,SUCCESS,396.35,Website
C007095,2025-02-03,APP_LOGIN,SUCCESS,552.26,Mobile App
C006319,2025-05-18,EMAIL,NO_RESPONSE,1178.64,Call Center
C003797,2025-06-17,SMS,SUCCESS,49.46,Branch
C000235,2025-04-18,CALL,SUCCESS,991.45,Mobile App
C009121,2025-02-21,CALL,SUCCESS,677.26,Website
C003608,2025-05-20,CALL,SUCCESS,916.0,Mobile App
C008044,2025-04-15,CALL,SUCCESS,814.58,Mobile App
C000523,2025-06-04,CALL,NO_RESPONSE,159.6,Website
C005905,2025-05-27,CALL,SUCCESS,854.21,Website
C004889,2025-02-26,APP_LOGIN,SUCCESS,3828.68,Call Center
C009822,2025-02-23,CALL,SUCCESS,126.7,Mobile App
C005833,2025-01-15,APP_LOGIN,SUCCESS,1329.96,Call Center
C007123,2025-04-20,SMS,SUCCESS,1795.08,Website
C005843,2025-06-14,EMAIL,SUCCESS,296.95,Mobile App
C001317,2025-05-26,TXN,SUCCESS,257.83,Website
C001125,2025-02-13,SMS,SUCCESS,393.98,Branch
C005622,2025-04-01,APP_LOGIN,NO_RESPONSE,3707.57,Mobile App
C005424,2025-04-12,SMS,FAIL,582.37,Call Center
C002588,2025-05-08,EMAIL,FAIL,1574.86,Mobile App
C009216,2025-03-25,APP_LOGIN,NO_RESPONSE,194.52,Mobile App
C005673,2025-05-29,CALL,SUCCESS,82.79,Mobile App
C001379,2025-01-29,EMAIL,SUCCESS,508.76,Call Center
C003375,2025-04-17,APP_LOGIN,NO_RESPONSE,875.41,Call Center
C001520,2025-01-15,CALL,NO_RESPONSE,1231.16,Website
C005778,2025-03-27,CALL,NO_RESPONSE,1773.89,Website
C007936,2025-03-28,SMS,SUCCESS,164.62,Website
C006094,2025-03-09,EMAIL,SUCCESS,1667.53,Website
C008419,2025-03-29,APP_LOGIN,SUCCESS,1427.36,Mobile App
C005356,2025-03-05,APP_LOGIN,NO_RESPONSE,52.65,Website
C004969,2025-01-14,CALL,SUCCESS,2792.87,Mobile App
C009084,2025-06-14,SMS,SUCCESS,371.1,Mobile App
C005575,2025-02-23,TXN,SUCCESS,3615.13,Mobile App
C004073,2025-02-28,EMAIL,NO_RESPONSE,761.78,Mobile App
C002258,2025-05-08,CALL,FAIL,2096.56,Mobile App
C008589,2025-02-24,APP_LOGIN,SUCCESS,1041.57,Mobile App
C004425,2025-06-20,SMS,NO_RESPONSE,363.0,Mobile App
C003238,2025-06-29,EMAIL,FAIL,392.05,Mobile App
C003894,2025-02-08,EMAIL,FAIL,986.45,Website
C002006,2025-03-18,APP_LOGIN,SUCCESS,1380.27,Website
C002017,2025-05-27,EMAIL,SUCCESS,316.94,Mobile App
C009389,2025-06-13,TXN,NO_RESPONSE,823.41,Mobile App
C001773,2025-06-29,EMAIL,SUCCESS,862.5,Mobile App
C008354,2025-02-13,APP_LOGIN,SUCCESS,1379.43,Mobile App
C003977,2025-02-15,CALL,SUCCESS,837.06,Call Center
C001752,2025-04-07,APP_LOGIN,SUCCESS,717.59,Mobile App
C008968,2025-06-17,SMS,SUCCESS,712.49,Mobile App
C007431,2025-03-21,EMAIL,NO_RESPONSE,801.72,Mobile App
C007171,2025-06-30,SMS,FAIL,654.52,Mobile App
C006470,2025-05-27,CALL,SUCCESS,442.53,Website
C009132,2025-02-13,TXN,SUCCESS,420.29,Mobile App
C003221,2025-04-04,TXN,NO_RESPONSE,45.72,Call Center
C000540,2025-05-28,TXN,SUCCESS,1108.08,Mobile App
C001462,2025-02-13,TXN,SUCCESS,2013.74,Mobile App
C005185,2025-06-20,APP_LOGIN,FAIL,1470.06,Mobile App
C008548,2025-04-21,EMAIL,SUCCESS,1250.14,Website
C000235,2025-01-07,CALL,SUCCESS,1462.03,Branch
C001549,2025-02-11,TXN,SUCCESS,1021.8,Mobile App
C007481,2025-03-03,CALL,SUCCESS,594.09,Call Center
C004214,2025-01-02,CALL,NO_RESPONSE,1177.01,Mobile App
C001674,2025-03-18,SMS,SUCCESS,67.05,Mobile App
C006709,2025-02-15,CALL,NO_RESPONSE,835.36,Mobile App
C007983,2025-02-07,APP_LOGIN,FAIL,1863.75,Mobile App
C002101,2025-04-05,APP_LOGIN,SUCCESS,1803.47,Call Center
C003749,2025-05-09,TXN,SUCCESS,2455.4,Mobile App
C003174,2025-06-24,EMAIL,NO_RESPONSE,2831.22,Mobile App
C001816,2025-04-17,EMAIL,SUCCESS,115.81,Mobile App
C003842,2025-05-21,APP_LOGIN,SUCCESS,175.78,Mobile App
C008017,2025-03-01,EMAIL,SUCCESS,497.9,Call Center
C007012,2025-02-24,SMS,SUCCESS,4559.51,Call Center
C004494,2025-04-17,APP_LOGIN,SUCCESS,228.84,Mobile App
C000675,2025-01-31,SMS,NO_RESPONSE,667.87,Mobile App
C008089,2025-04-07,CALL,SUCCESS,583.95,Mobile App
C008579,2025-05-22,EMAIL,SUCCESS,87.09,Website
C002159,2025-03-27,CALL,SUCCESS,2755.59,Mobile App
C002662,2025-05-13,APP_LOGIN,SUCCESS,1703.31,Call Center
C002065,2025-04-29,CALL,SUCCESS,221.35,Website
C003254,2025-06-30,APP_LOGIN,SUCCESS,397.06,Mobile App
C004980,2025-06-14,TXN,NO_RESPONSE,922.02,Mobile App
C007704,2025-04-06,TXN,SUCCESS,672.71,Mobile App
C008932,2025-01-03,CALL,SUCCESS,142.74,Mobile App
C001402,2025-05-19,APP_LOGIN,SUCCESS,686.72,Website
C003260,2025-02-11,APP_LOGIN,FAIL,428.81,Mobile App
C003924,2025-06-15,EMAIL,NO_RESPONSE,923.34,Mobile App
C004215,2025-06-01,CALL,FAIL,196.6,Mobile App
C003228,2025-05-17,TXN,SUCCESS,1323.34,Branch
C002746,2025-05-21,APP_LOGIN,NO_RESPONSE,1615.55,Website
C006092,2025-03-27,APP_LOGIN,SUCCESS,2854.83,Mobile App
C003867,2025-05-26,SMS,SUCCESS,217.96,Branch
C005819,2025-01-10,EMAIL,NO_RESPONSE,3588.76,Mobile App
C002223,2025-05-20,EMAIL,SUCCESS,891.99,Branch
C002793,2025-02-16,APP_LOGIN,SUCCESS,930.37,Mobile App
C009890,2025-03-24,EMAIL,SUCCESS,1772.73,Mobile App
C004064,2025-04-27,SMS,SUCCESS,1005.95,Call Center
C001525,2025-01-10,CALL,FAIL,1155.11,Branch
C008225,2025-05-09,TXN,SUCCESS,613.75,Mobile App
C006199,2025-03-12,APP_LOGIN,SUCCESS,1274.96,Branch
C004026,2025-04-29,CALL,NO_RESPONSE,16.58,Mobile App
C002567,2025-04-29,CALL,SUCCESS,185.24,Website
C002804,2025-05-19,SMS,SUCCESS,3195.67,Mobile App
C003710,2025-06-30,CALL,SUCCESS,661.45,Mobile App
C006156,2025-05-07,SMS,FAIL,1272.04,Website
C000720,2025-01-04,TXN,SUCCESS,450.29,Mobile App
C006517,2025-03-27,TXN,SUCCESS,589.82,Mobile App
C004580,2025-01-10,TXN,SUCCESS,191.99,Mobile App
C000973,2025-05-13,CALL,SUCCESS,1120.03,Mobile App
C003719,2025-05-04,SMS,SUCCESS,1079.84,Mobile App
C007396,2025-03-17,APP_LOGIN,FAIL,1925.6,Mobile App
C004403,2025-06-07,APP_LOGIN,NO_RESPONSE,851.39,Mobile App
C004553,2025-02-26,SMS,SUCCESS,429.86,Mobile App
C002208,2025-06-10,EMAIL,NO_RESPONSE,627.79,Mobile App
C004427,2025-06-14,EMAIL,NO_RESPONSE,123.15,Branch
C006920,2025-03-23,APP_LOGIN,SUCCESS,995.8,Mobile App
C008836,2025-01-23,SMS,NO_RESPONSE,838.36,Mobile App
C008387,2025-03-11,CALL,SUCCESS,7.01,Mobile App
C008681,2025-01-07,APP_LOGIN,SUCCESS,897.6,Mobile App
C002205,2025-01-19,CALL,SUCCESS,952.57,Mobile App
C005346,2025-05-23,APP_LOGIN,SUCCESS,1747.7,Mobile App
C003277,2025-04-27,CALL,SUCCESS,3434.87,Website
C001103,2025-03-27,SMS,SUCCESS,1748.99,Call Center
C005244,2025-06-09,SMS,NO_RESPONSE,1379.9,Mobile App
C006615,2025-03-20,TXN,SUCCESS,172.2,Mobile App
C009434,2025-02-28,CALL,SUCCESS,379.87,Branch
C008708,2025-03-11,APP_LOGIN,SUCCESS,1663.17,Website
C005224,2025-01-06,TXN,SUCCESS,306.5,Mobile App
C008585,2025-03-17,EMAIL,SUCCESS,295.6,Call Center
C000631,2025-05-12,EMAIL,NO_RESPONSE,2784.59,Website
C009172,2025-04-29,TXN,FAIL,324.29,Mobile App
C006684,2025-03-11,SMS,SUCCESS,18.28,Call Center
C000278,2025-04-25,TXN,SUCCESS,1049.39,Mobile App
C000233,2025-04-11,APP_LOGIN,SUCCESS,3073.84,Website
C009745,2025-05-22,EMAIL,SUCCESS,360.15,Mobile App
C005691,2025-04-21,CALL,SUCCESS,526.46,Mobile App
C007660,2025-03-24,APP_LOGIN,SUCCESS,206.1,Mobile App
C000026,2025-01-07,APP_LOGIN,SUCCESS,22.46,Mobile App
C007469,2025-03-02,SMS,SUCCESS,684.74,Call Center
C006411,2025-04-18,APP_LOGIN,SUCCESS,173.05,Call Center
C008653,2025-03-13,CALL,NO_RESPONSE,667.29,Call Center
C003765,2025-06-05,CALL,SUCCESS,481.84,Mobile App
C006600,2025-04-09,EMAIL,SUCCESS,605.88,Mobile App
C005103,2025-02-22,EMAIL,NO_RESPONSE,1475.12,Branch
C007007,2025-03-24,APP_LOGIN,NO_RESPONSE,331.39,Branch
C003484,2025-06-21,EMAIL,SUCCESS,1669.0,Website
C001995,2025-01-28,SMS,SUCCESS,228.29,Mobile App
C008683,2025-02-15,APP_LOGIN,SUCCESS,1957.81,Mobile App
C001073,2025-06-26,APP_LOGIN,NO_RESPONSE,3070.12,Mobile App
C006708,2025-05-03,EMAIL,SUCCESS,944.62,Mobile App
C000216,2025-06-04,APP_LOGIN,SUCCESS,626.4,Mobile App
C007606,2025-06-16,APP_LOGIN,NO_RESPONSE,8.18,Branch
C009916,2025-03-25,EMAIL,SUCCESS,1316.52,Mobile App
C009785,2025-01-27,EMAIL,NO_RESPONSE,868.27,Mobile App
C002607,2025-02-04,TXN,SUCCESS,721.26,Branch
C008351,2025-02-16,APP_LOGIN,NO_RESPONSE,146.5,Mobile App
C004782,2025-02-21,EMAIL,NO_RESPONSE,111.17,Mobile App
C003314,2025-03-10,APP_LOGIN,SUCCESS,2813.35,Mobile App
C009969,2025-02-10,APP_LOGIN,NO_RESPONSE,1181.43,Website
C007764,2025-02-19,CALL,NO_RESPONSE,247.46,Call Center
C005940,2025-02-14,TXN,NO_RESPONSE,863.79,Mobile App
C002296,2025-01-20,APP_LOGIN,NO_RESPONSE,1183.59,Mobile App
C005686,2025-04-30,SMS,SUCCESS,1250.4,Mobile App
C001697,2025-02-05,TXN,SUCCESS,17.83,Website
C001947,2025-04-01,CALL,NO_RESPONSE,3075.45,Mobile App
C002784,2025-03-11,APP_LOGIN,NO_RESPONSE,653.19,Mobile App
C003645,2025-06-01,APP_LOGIN,SUCCESS,1356.66,Branch
C005242,2025-06-13,APP_LOGIN,FAIL,1210.67,Branch
C006421,2025-05-13,SMS,SUCCESS,2998.32,Website
C007558,2025-05-28,CALL,SUCCESS,366.78,Mobile App
C002646,2025-06-30,EMAIL,FAIL,1099.66,Call Center
C006590,2025-04-15,SMS,SUCCESS,41.94,Branch
C006354,2025-06-17,TXN,SUCCESS,45.47,Mobile App
C001933,2025-04-08,CALL,SUCCESS,1179.63,Call Center
C001758,2025-04-13,CALL,NO_RESPONSE,420.7,Mobile App
C005086,2025-05-04,CALL,SUCCESS,247.9,Website
C005638,2025-06-27,APP_LOGIN,SUCCESS,711.44,Mobile App
C001117,2025-03-15,SMS,NO_RESPONSE,889.66,Website
C000493,2025-06-12,CALL,NO_RESPONSE,19.07,Mobile App
C008812,2025-03-05,CALL,SUCCESS,5345.31,Mobile App
C007889,2025-06-14,APP_LOGIN,SUCCESS,543.73,Mobile App
C006475,2025-02-14,SMS,NO_RESPONSE,254.74,Mobile App
C009739,2025-02-07,TXN,SUCCESS,87.22,Call Center
C004959,2025-04-20,SMS,SUCCESS,234.35,Mobile App
C009798,2025-04-11,APP_LOGIN,FAIL,1359.98,Mobile App
